Time(s)	CH1(V)	CH2(V)	CH3(V)	CH4(V)
1.9256000000e-02	0.031250	0.000000	0.031250	0.031250
1.9264000000e-02	0.031250	0.000000	0.031250	0.031250
1.9272000000e-02	0.031250	0.000000	0.031250	0.031250
1.9280000000e-02	0.031250	0.000000	0.031250	0.031250
1.9288000000e-02	0.031250	0.000000	0.031250	0.031250
1.9296000000e-02	0.031250	0.000000	0.031250	0.031250
1.9304000000e-02	0.031250	0.000000	0.031250	0.031250
1.9312000000e-02	0.031250	0.000000	0.031250	0.031250
1.9320000000e-02	0.031250	0.000000	0.031250	0.031250
1.9328000000e-02	0.031250	0.000000	0.031250	0.031250
1.9336000000e-02	0.031250	0.000000	0.031250	0.031250
1.9344000000e-02	0.031250	0.000000	0.031250	0.031250
1.9352000000e-02	0.031250	0.000000	0.031250	0.031250
1.9360000000e-02	0.031250	0.000000	0.031250	0.031250
1.9368000000e-02	0.031250	0.000000	0.031250	0.031250
